introduction_id,country_id,year_id,description,intro_status
145671,14,2007,Japanese Encephalitis,No
145672,14,2007,Measles-containing vaccine 2nd dose,Yes
145673,14,2007,Meningococcal meningitis vaccines (all strains),No
145674,14,2007,Mumps vaccine,Yes
145675,14,2007,PCV (Pneumococcal conjugate vaccine),No
145676,14,2007,PPV (Pneumococcal polysaccharide vaccine),No
145677,14,2007,Rotavirus vaccine,No
145678,14,2007,Rubella vaccine,Yes
145679,14,2007,Seasonal Influenza vaccine,No
145680,14,2007,Typhoid,No
145681,14,2007,Varicella vaccine,No
145682,14,2007,YF (Yellow fever) vaccine,No
145683,14,2006,aP (acellular pertussis) vaccine,No
145684,14,2006,Hepatitis A vaccine,No
145685,14,2006,Hepatitis B vaccine,Yes
145686,14,2006,HepB birth dose,Yes
145687,14,2006,Hib (Haemophilus influenzae type B) vaccine,No
145688,14,2006,HPV (Human Papilloma Virus) vaccine,No
145689,14,2006,IPV (Inactivated polio vaccine),No
145690,14,2006,IPV (Inactivated polio vaccine) 2nd dose,No
145691,14,2006,Japanese Encephalitis,No
145692,14,2006,Measles-containing vaccine 2nd dose,Yes
145693,14,2006,Meningococcal meningitis vaccines (all strains),No
145694,14,2006,Mumps vaccine,Yes
145695,14,2006,PCV (Pneumococcal conjugate vaccine),No
145696,14,2006,PPV (Pneumococcal polysaccharide vaccine),No
145697,14,2006,Rotavirus vaccine,No
145698,14,2006,Rubella vaccine,Yes
145699,14,2006,Seasonal Influenza vaccine,No
145700,14,2006,Typhoid,No
145701,14,2006,Varicella vaccine,No
145702,14,2006,YF (Yellow fever) vaccine,No
145703,14,2005,aP (acellular pertussis) vaccine,No
145704,14,2005,Hepatitis A vaccine,No
145705,14,2005,Hepatitis B vaccine,Yes
145706,14,2005,HepB birth dose,Yes
145707,14,2005,Hib (Haemophilus influenzae type B) vaccine,No
145708,14,2005,IPV (Inactivated polio vaccine),No
145709,14,2005,IPV (Inactivated polio vaccine) 2nd dose,No
145710,14,2005,Japanese Encephalitis,No
145711,14,2005,Measles-containing vaccine 2nd dose,Yes
145712,14,2005,Meningococcal meningitis vaccines (all strains),No
145713,14,2005,Mumps vaccine,Yes
145714,14,2005,PCV (Pneumococcal conjugate vaccine),No
145715,14,2005,PPV (Pneumococcal polysaccharide vaccine),No
145716,14,2005,Rubella vaccine,Yes
145717,14,2005,Seasonal Influenza vaccine,No
145718,14,2005,Typhoid,No
145719,14,2005,Varicella vaccine,No
145720,14,2005,YF (Yellow fever) vaccine,No
145721,14,2004,aP (acellular pertussis) vaccine,No
145722,14,2004,Hepatitis A vaccine,No
145723,14,2004,Hepatitis B vaccine,Yes
145724,14,2004,HepB birth dose,Yes
145725,14,2004,Hib (Haemophilus influenzae type B) vaccine,No
145726,14,2004,IPV (Inactivated polio vaccine),No
145727,14,2004,IPV (Inactivated polio vaccine) 2nd dose,No
145728,14,2004,Japanese Encephalitis,No
145729,14,2004,Measles-containing vaccine 2nd dose,Yes
145730,14,2004,Meningococcal meningitis vaccines (all strains),No
145731,14,2004,Mumps vaccine,Yes
145732,14,2004,PCV (Pneumococcal conjugate vaccine),No
145733,14,2004,PPV (Pneumococcal polysaccharide vaccine),No
145734,14,2004,Rubella vaccine,Yes
145735,14,2004,Seasonal Influenza vaccine,No
145736,14,2004,Typhoid,No
145737,14,2004,Varicella vaccine,No
145738,14,2004,YF (Yellow fever) vaccine,No
145739,14,2003,aP (acellular pertussis) vaccine,No
145740,14,2003,Hepatitis A vaccine,No
145741,14,2003,Hepatitis B vaccine,Yes
145742,14,2003,HepB birth dose,Yes
145743,14,2003,Hib (Haemophilus influenzae type B) vaccine,No
145744,14,2003,IPV (Inactivated polio vaccine),No
