cases_id,country_id,year_id,source_group,disease_id,cases
212,2.0,2011,COUNTRIES,13,
213,2.0,2011,COUNTRIES,4,3013.0
214,2.0,2011,COUNTRIES,5,
215,2.0,2011,COUNTRIES,6,20.0
216,2.0,2011,COUNTRIES,7,0.0
217,2.0,2011,COUNTRIES,8,81.0
218,2.0,2011,COUNTRIES,9,750.0
219,2.0,2011,COUNTRIES,10,20.0
220,2.0,2011,COUNTRIES,12,
221,2.0,2010,COUNTRIES,1,0.0
222,2.0,2010,COUNTRIES,2,0.0
223,2.0,2010,COUNTRIES,13,0.0
224,2.0,2010,COUNTRIES,4,1989.0
225,2.0,2010,COUNTRIES,5,0.0
226,2.0,2010,COUNTRIES,6,23.0
227,2.0,2010,COUNTRIES,7,0.0
228,2.0,2010,COUNTRIES,8,30.0
229,2.0,2010,COUNTRIES,9,46.0
230,2.0,2010,COUNTRIES,10,23.0
231,2.0,2010,COUNTRIES,12,0.0
232,2.0,2009,COUNTRIES,1,
233,2.0,2009,COUNTRIES,2,0.0
234,2.0,2009,COUNTRIES,13,
235,2.0,2009,COUNTRIES,4,2861.0
236,2.0,2009,COUNTRIES,5,
237,2.0,2009,COUNTRIES,6,
238,2.0,2009,COUNTRIES,7,0.0
239,2.0,2009,COUNTRIES,8,38.0
240,2.0,2009,COUNTRIES,9,501.0
241,2.0,2009,COUNTRIES,10,19.0
242,2.0,2009,COUNTRIES,12,
243,2.0,2008,COUNTRIES,1,
244,2.0,2008,COUNTRIES,2,0.0
245,2.0,2008,COUNTRIES,13,
246,2.0,2008,COUNTRIES,4,1599.0
247,2.0,2008,COUNTRIES,5,
248,2.0,2008,COUNTRIES,6,12.0
249,2.0,2008,COUNTRIES,7,2448.0
250,2.0,2008,COUNTRIES,8,31.0
251,2.0,2008,COUNTRIES,9,415.0
252,2.0,2008,COUNTRIES,10,57.0
253,2.0,2008,COUNTRIES,12,
254,2.0,2007,COUNTRIES,1,
255,2.0,2007,COUNTRIES,2,104.0
256,2.0,2007,COUNTRIES,13,
257,2.0,2007,COUNTRIES,4,1141.0
258,2.0,2007,COUNTRIES,5,
259,2.0,2007,COUNTRIES,6,40.0
260,2.0,2007,COUNTRIES,7,5904.0
261,2.0,2007,COUNTRIES,8,17.0
262,2.0,2007,COUNTRIES,9,152.0
263,2.0,2007,COUNTRIES,10,71.0
264,2.0,2007,COUNTRIES,12,
265,2.0,2006,COUNTRIES,1,
266,2.0,2006,COUNTRIES,2,53.0
267,2.0,2006,COUNTRIES,13,
268,2.0,2006,COUNTRIES,4,1990.0
269,2.0,2006,COUNTRIES,5,
270,2.0,2006,COUNTRIES,6,33.0
271,2.0,2006,COUNTRIES,7,2515.0
272,2.0,2006,COUNTRIES,8,31.0
273,2.0,2006,COUNTRIES,9,196.0
274,2.0,2006,COUNTRIES,10,43.0
275,2.0,2006,COUNTRIES,12,
276,2.0,2005,COUNTRIES,1,
277,2.0,2005,COUNTRIES,2,179.0
278,2.0,2005,COUNTRIES,4,1296.0
279,2.0,2005,COUNTRIES,5,
280,2.0,2005,COUNTRIES,6,39.0
281,2.0,2005,COUNTRIES,7,2173.0
282,2.0,2005,COUNTRIES,8,9.0
283,2.0,2005,COUNTRIES,9,
284,2.0,2005,COUNTRIES,10,
285,2.0,2005,COUNTRIES,12,
286,2.0,2004,COUNTRIES,1,
287,2.0,2004,COUNTRIES,2,26.0
288,2.0,2004,COUNTRIES,4,466.0
289,2.0,2004,COUNTRIES,5,
290,2.0,2004,COUNTRIES,6,81.0
291,2.0,2004,COUNTRIES,7,558.0
292,2.0,2004,COUNTRIES,8,4.0
293,2.0,2004,COUNTRIES,9,
294,2.0,2004,COUNTRIES,10,81.0
295,2.0,2004,COUNTRIES,12,
296,2.0,2003,COUNTRIES,1,
297,2.0,2003,COUNTRIES,2,79.0
298,2.0,2003,COUNTRIES,4,798.0
299,2.0,2003,COUNTRIES,5,
300,2.0,2003,COUNTRIES,6,121.0
301,2.0,2003,COUNTRIES,7,
302,2.0,2003,COUNTRIES,8,8.0
303,2.0,2003,COUNTRIES,9,
304,2.0,2003,COUNTRIES,10,121.0
305,2.0,2003,COUNTRIES,12,
306,2.0,2002,COUNTRIES,1,
307,2.0,2002,COUNTRIES,2,854.0
308,2.0,2002,COUNTRIES,4,2486.0
309,2.0,2002,COUNTRIES,5,
310,2.0,2002,COUNTRIES,6,595.0
311,2.0,2002,COUNTRIES,7,1439.0
312,2.0,2002,COUNTRIES,8,10.0
313,2.0,2002,COUNTRIES,9,
314,2.0,2002,COUNTRIES,10,975.0
315,2.0,2002,COUNTRIES,12,
316,2.0,2001,COUNTRIES,1,
317,2.0,2001,COUNTRIES,2,
318,2.0,2001,COUNTRIES,4,8762.0
319,2.0,2001,COUNTRIES,5,
320,2.0,2001,COUNTRIES,6,211.0
321,2.0,2001,COUNTRIES,7,
322,2.0,2001,COUNTRIES,8,11.0
323,2.0,2001,COUNTRIES,9,
324,2.0,2001,COUNTRIES,10,
325,2.0,2001,COUNTRIES,12,
326,2.0,2000,COUNTRIES,1,
327,2.0,2000,COUNTRIES,2,84.0
328,2.0,2000,COUNTRIES,4,6532.0
329,2.0,2000,COUNTRIES,5,
330,2.0,2000,COUNTRIES,6,139.0
331,2.0,2000,COUNTRIES,7,896.0
332,2.0,2000,COUNTRIES,8,120.0
333,2.0,2000,COUNTRIES,9,
334,2.0,2000,COUNTRIES,10,
335,2.0,2000,COUNTRIES,12,
336,2.0,1999,COUNTRIES,1,
337,2.0,1999,COUNTRIES,2,297.0
338,2.0,1999,COUNTRIES,4,3609.0
339,2.0,1999,COUNTRIES,5,
340,2.0,1999,COUNTRIES,6,88.0
341,2.0,1999,COUNTRIES,7,1582.0
342,2.0,1999,COUNTRIES,8,150.0
